Category,Tool,Website,Omah Use Case,Priority,When To Use,Recommended Action,Notes
Sourcing,Accio,https://www.accio.com/,"Find suppliers for necklaces, bracelets, candles, oils, trays, packaging",High,Now,Test immediately,"Strong fit for Omah product sourcing and supplier comparison"
Sourcing,SourceReady,https://www.sourceready.com/,"Research products, discover suppliers, manage sourcing workflow",High,Now,Compare with Accio,"Useful if Accio is too generic or Alibaba-heavy"
Competitor Research,ShopClaw,https://www.shopclaw.dev/,"Search Shopify and TikTok Shop products for competitor SKUs and pricing",High,Now,Use for product research,"API/MCP angle makes it useful for Codex/OpenClaw workflows"
Competitor Research,Eliotron,https://www.eliotron.com/,"Analyze product niches, suppliers, Shopify stores, and opportunities",Medium,Now,Trial after ShopClaw,"Good product intelligence layer"
Dropshipping Research,Tradelle,https://www.tradelle.io/,"Product research, supplier discovery, competitor research",Medium,Later,Use only if dropshipping route is needed,"May be less brand-led than Omah needs"
Store Ops,Shopify Sidekick,https://help.shopify.com/en/manual/shopify-admin/productivity-tools/sidekick,"Admin assistant for products, content, orders, store insights, workflows",High,When Shopify is live,Enable in Shopify,"Free/built-in Shopify AI assistant"
Store Automation,Shopify Flow,https://help.shopify.com/en/manual/shopify-flow,"Automate tagging, order workflows, fraud checks, notifications, fulfillment rules",High,When Shopify is live,Set up core flows,"Use for low-risk deterministic automations"
HQ Agent,Codex / OpenClaw,Local setup,"Website edits, GitHub, Vercel deploys, scripts, research, prompt workflows",High,Now,Keep as command center,"Best as Omah operating brain, not customer-facing"
UGC Video,Kling AI,https://klingai.com/,"Generate website hero clips and product/lifestyle UGC videos",High,Now,Use subscription for first batch,"Good for cinematic product/wearable visuals"
Voiceover,ElevenLabs,https://elevenlabs.io/,"Generate premium Omah voiceovers for website videos and reels",High,Now,Use for final audio layer,"Keep audio separate from video generators for control"
Video Ads,Creatify,https://app.creatify.ai/,"Create UGC-style ads, AI avatars, product videos from product links",Medium,After products are in Shopify,Trial for ads,"Useful when we need ad variations fast"
Social Content,Predis.ai,https://www.predis.ai/,"Generate social posts, carousels, ad creatives, captions, hashtags",Medium,After Instagram launch,Trial only,"Could help but may overlap with our existing content generator"
Product Photos,Photoroom,https://www.photoroom.com/api,"Clean product images, generate backgrounds, batch image edits, image-to-video",High,Before product upload,Use for catalog consistency,"Best for repeatable ecommerce image pipeline"
Product Photos,Pebblely,https://pebblely.com/,"Generate lifestyle product photos for candles, oils, trays, bundles",High,Before product upload,Use for brand scenes,"Very useful for Omah visual world"
Product Photos,Claid,https://claid.ai/,"Generate realistic product/fashion images, models, 4K assets",High,Before product upload,Test for wearable shots,"Strong fit for necklaces/bracelets on models"
Instagram Sales,FlashDM,https://flashdm.ai/,"Turn reel comments and DMs into Shopify checkout links",High,After Instagram account is active,Test with comment-to-DM,"Very relevant for Omah IG sales engine"
Instagram/WhatsApp Sales,BIK,https://bik.ai/,"AI for WhatsApp, Instagram, email, SMS; Shopify-connected recommendations",High,After Shopify + IG,Compare with FlashDM/Depra,"India/ecommerce relevant"
WhatsApp Revenue,Depra,https://depra.ai/,"Abandoned cart, COD confirmation, refunds-to-exchanges, WhatsApp/voice/email support",High,When orders start,Shortlist for India D2C,"Very relevant if Omah sells in India with WhatsApp/COD"
WhatsApp Commerce,Zoko,https://apps.shopify.com/whatsapp-button-chat,"WhatsApp campaigns, support, abandoned cart, Shopify catalog buying",Medium,When Shopify is live,Compare with BIK/Depra,"Good Shopify WhatsApp option"
WhatsApp Platform,WATI,https://geo.wati.io/,"WhatsApp inbox, broadcasts, chatbot, support automation",Medium,When WhatsApp scale grows,Compare pricing carefully,"Popular but pricing can add up"
WhatsApp Ordering,VIKMO,https://vikmo.app/,"WhatsApp order-taking AI in Indian languages",Medium,Later,Check fit for catalog orders,"Useful if WhatsApp becomes main order channel"
